run_id,architecture,tfup_s,tcp_s
65,A1_COMPRESSED_FULL,267.6649525415426,267.6649525415426
65,A2_QUICKLOOK_FIRST,18.76649525415426,18.76649525415426
65,A3_ROI_FIRST,107.6649525415426,107.6649525415426
65,A4_PROGRESSIVE,27.6813365415426,78.4324149415426
66,A0_GROUND_ONLY,285.82236969724545,285.82236969724545
66,A1_COMPRESSED_FULL,270.3672649451549,270.3672649451549
66,A2_QUICKLOOK_FIRST,19.03672649451549,19.03672649451549
66,A3_ROI_FIRST,110.36726494515489,110.36726494515489
66,A4_PROGRESSIVE,30.383648945154892,81.13472734515489
67,A0_GROUND_ONLY,281.59746454157914,281.59746454157914
67,A1_COMPRESSED_FULL,268.09538615433655,268.09538615433655
67,A2_QUICKLOOK_FIRST,18.809538615433656,18.809538615433656
67,A3_ROI_FIRST,108.09538615433655,108.09538615433655
67,A4_PROGRESSIVE,28.111770154336554,78.86284855433655
68,A0_GROUND_ONLY,324.18418075545065,324.18418075545065
68,A1_COMPRESSED_FULL,269.4050219123551,269.4050219123551
68,A2_QUICKLOOK_FIRST,18.940502191235506,18.940502191235506
68,A3_ROI_FIRST,109.40502191235507,109.40502191235507
68,A4_PROGRESSIVE,29.42140591235507,80.17248431235507
69,A0_GROUND_ONLY,261.2206163172197,261.2206163172197
69,A1_COMPRESSED_FULL,270.30136340545243,270.30136340545243
69,A2_QUICKLOOK_FIRST,19.030136340545248,19.030136340545248
69,A3_ROI_FIRST,110.30136340545246,110.30136340545246
69,A4_PROGRESSIVE,30.317747405452455,81.06882580545246
70,A0_GROUND_ONLY,304.071922022014,304.071922022014
70,A1_COMPRESSED_FULL,272.8069493722553,272.8069493722553
70,A2_QUICKLOOK_FIRST,19.280694937225533,19.280694937225533
70,A3_ROI_FIRST,112.80694937225532,112.80694937225532
70,A4_PROGRESSIVE,32.82333337225532,83.57441177225532
71,A0_GROUND_ONLY,317.40853250172927,317.40853250172927
71,A1_COMPRESSED_FULL,270.1269563676259,270.1269563676259
71,A2_QUICKLOOK_FIRST,19.01269563676259,19.01269563676259
71,A3_ROI_FIRST,110.12695636762591,110.12695636762591
71,A4_PROGRESSIVE,30.143340367625903,80.89441876762591
72,A0_GROUND_ONLY,299.7836592102373,299.7836592102373
72,A1_COMPRESSED_FULL,268.52574919447113,268.52574919447113
72,A2_QUICKLOOK_FIRST,18.85257491944711,18.85257491944711
72,A3_ROI_FIRST,108.5257491944711,108.5257491944711
72,A4_PROGRESSIVE,28.542133194471106,79.2932115944711
73,A0_GROUND_ONLY,391.9811021714669,391.9811021714669
73,A1_COMPRESSED_FULL,268.3773360955461,268.3773360955461
73,A2_QUICKLOOK_FIRST,18.83773360955461,18.83773360955461
73,A3_ROI_FIRST,108.3773360955461,108.3773360955461
73,A4_PROGRESSIVE,28.3937200955461,79.1447984955461
74,A0_GROUND_ONLY,280.5419817629,280.5419817629
74,A1_COMPRESSED_FULL,270.62933980648756,270.62933980648756
74,A2_QUICKLOOK_FIRST,19.062933980648758,19.062933980648758
74,A3_ROI_FIRST,110.62933980648756,110.62933980648756
74,A4_PROGRESSIVE,30.64572380648757,81.39680220648756
75,A0_GROUND_ONLY,340.8133860745577,340.8133860745577
75,A1_COMPRESSED_FULL,271.38361703294385,271.38361703294385
75,A2_QUICKLOOK_FIRST,19.138361703294386,19.138361703294386
75,A3_ROI_FIRST,111.38361703294385,111.38361703294385
75,A4_PROGRESSIVE,31.400001032943848,82.15107943294385
76,A0_GROUND_ONLY,285.83352171671874,285.83352171671874
76,A1_COMPRESSED_FULL,267.99419834847106,267.99419834847106
76,A2_QUICKLOOK_FIRST,18.799419834847104,18.799419834847104
76,A3_ROI_FIRST,107.99419834847104,107.99419834847104
76,A4_PROGRESSIVE,28.01058234847104,78.76166074847104
77,A0_GROUND_ONLY,255.80570776003128,255.80570776003128
77,A1_COMPRESSED_FULL,273.0714638074799,273.0714638074799
77,A2_QUICKLOOK_FIRST,19.307146380747994,19.307146380747994
77,A3_ROI_FIRST,113.07146380747992,113.07146380747992
77,A4_PROGRESSIVE,33.087847807479925,83.83892620747991
78,A0_GROUND_ONLY,262.315857908168,262.315857908168
78,A1_COMPRESSED_FULL,266.97945990692335,266.97945990692335
78,A2_QUICKLOOK_FIRST,18.697945990692332,18.697945990692332
