time_iso,single_in_contact,constellation_in_contact,single_queue_bytes,constellation_queue_bytes,handoff_sat_id
2020-01-01T02:52:00Z,0,0,5017436160,5017436160,
2020-01-01T02:52:30Z,0,0,5033164800,5033164800,
2020-01-01T02:53:00Z,0,0,5048893440,5048893440,
2020-01-01T02:53:30Z,0,0,5064622080,5064622080,
2020-01-01T02:54:00Z,0,0,5080350720,5080350720,
2020-01-01T02:54:30Z,0,0,5096079360,5096079360,
2020-01-01T02:55:00Z,0,0,5111808000,5111808000,
2020-01-01T02:55:30Z,0,0,5127536640,5127536640,
2020-01-01T02:56:00Z,0,0,5143265280,5143265280,
2020-01-01T02:56:30Z,0,0,5158993920,5158993920,
2020-01-01T02:57:00Z,0,0,5174722560,5174722560,
2020-01-01T02:57:30Z,0,0,5190451200,5190451200,
2020-01-01T02:58:00Z,0,0,5206179840,5206179840,
2020-01-01T02:58:30Z,0,0,5221908480,5221908480,
2020-01-01T02:59:00Z,0,0,5237637120,5237637120,
2020-01-01T02:59:30Z,0,0,5253365760,5253365760,
2020-01-01T03:00:00Z,0,0,5269094400,5269094400,
2020-01-01T03:00:30Z,0,0,5284823040,5284823040,
2020-01-01T03:01:00Z,0,0,5300551680,5300551680,
2020-01-01T03:01:30Z,0,0,5316280320,5316280320,
2020-01-01T03:02:00Z,0,0,5332008960,5332008960,
2020-01-01T03:02:30Z,0,0,5347737600,5347737600,
2020-01-01T03:03:00Z,0,0,5363466240,5363466240,
2020-01-01T03:03:30Z,0,0,5379194880,5379194880,
2020-01-01T03:04:00Z,0,0,5394923520,5394923520,
2020-01-01T03:04:30Z,0,0,5410652160,5410652160,
2020-01-01T03:05:00Z,0,0,5426380800,5426380800,
2020-01-01T03:05:30Z,0,0,5442109440,5442109440,
2020-01-01T03:06:00Z,0,0,5457838080,5457838080,
2020-01-01T03:06:30Z,0,0,5473566720,5473566720,
2020-01-01T03:07:00Z,0,0,5489295360,5489295360,
2020-01-01T03:07:30Z,0,0,5505024000,5505024000,
2020-01-01T03:08:00Z,0,0,5520752640,5520752640,
2020-01-01T03:08:30Z,0,0,5536481280,5536481280,
2020-01-01T03:09:00Z,0,0,5552209920,5552209920,
2020-01-01T03:09:30Z,0,0,5567938560,5567938560,
2020-01-01T03:10:00Z,0,0,5583667200,5583667200,
2020-01-01T03:10:30Z,0,0,5599395840,5599395840,
2020-01-01T03:11:00Z,0,0,5615124480,5615124480,
2020-01-01T03:11:30Z,0,0,5630853120,5630853120,
2020-01-01T03:12:00Z,0,0,5646581760,5646581760,
2020-01-01T03:12:30Z,0,0,5662310400,5662310400,
2020-01-01T03:13:00Z,0,0,5678039040,5678039040,
2020-01-01T03:13:30Z,0,0,5693767680,5693767680,
2020-01-01T03:14:00Z,0,0,5709496320,5709496320,
2020-01-01T03:14:30Z,0,0,5725224960,5725224960,
