run_id,architecture,tfup_s,tcp_s,completed
61,A3_ROI_FIRST,109.72606247034027,,False
61,A4_PROGRESSIVE,29.742446470340262,,False
62,A0_GROUND_ONLY,,,False
62,A1_COMPRESSED_FULL,272.36536742175593,272.36536742175593,True
62,A2_QUICKLOOK_FIRST,19.23653674217559,,False
62,A3_ROI_FIRST,112.36536742175592,,False
62,A4_PROGRESSIVE,32.38175142175592,,False
63,A0_GROUND_ONLY,,,False
63,A1_COMPRESSED_FULL,266.1981358410196,266.1981358410196,True
63,A2_QUICKLOOK_FIRST,18.619813584101962,,False
63,A3_ROI_FIRST,106.19813584101962,,False
63,A4_PROGRESSIVE,26.214519841019627,,False
64,A0_GROUND_ONLY,,,False
64,A1_COMPRESSED_FULL,269.7122873790243,269.7122873790243,True
64,A2_QUICKLOOK_FIRST,18.97122873790243,,False
64,A3_ROI_FIRST,109.71228737902429,,False
64,A4_PROGRESSIVE,29.728671379024288,,False
65,A0_GROUND_ONLY,,,False
65,A1_COMPRESSED_FULL,267.6649525415426,267.6649525415426,True
65,A2_QUICKLOOK_FIRST,18.76649525415426,,False
65,A3_ROI_FIRST,107.6649525415426,,False
65,A4_PROGRESSIVE,27.6813365415426,,False
66,A0_GROUND_ONLY,,,False
66,A1_COMPRESSED_FULL,270.3672649451549,270.3672649451549,True
66,A2_QUICKLOOK_FIRST,19.03672649451549,,False
66,A3_ROI_FIRST,110.36726494515489,,False
66,A4_PROGRESSIVE,30.383648945154892,,False
67,A0_GROUND_ONLY,,,False
67,A1_COMPRESSED_FULL,268.09538615433655,268.09538615433655,True
67,A2_QUICKLOOK_FIRST,18.809538615433656,,False
67,A3_ROI_FIRST,108.09538615433655,,False
67,A4_PROGRESSIVE,28.111770154336554,,False
68,A0_GROUND_ONLY,,,False
68,A1_COMPRESSED_FULL,269.4050219123551,269.4050219123551,True
68,A2_QUICKLOOK_FIRST,18.940502191235506,,False
68,A3_ROI_FIRST,109.40502191235507,,False
68,A4_PROGRESSIVE,29.42140591235507,,False
69,A0_GROUND_ONLY,,,False
69,A1_COMPRESSED_FULL,270.30136340545243,270.30136340545243,True
69,A2_QUICKLOOK_FIRST,19.030136340545248,,False
69,A3_ROI_FIRST,110.30136340545246,,False
69,A4_PROGRESSIVE,30.317747405452455,,False
70,A0_GROUND_ONLY,,,False
70,A1_COMPRESSED_FULL,272.8069493722553,272.8069493722553,True
70,A2_QUICKLOOK_FIRST,19.280694937225533,,False
70,A3_ROI_FIRST,112.80694937225532,,False
70,A4_PROGRESSIVE,32.82333337225532,,False
71,A0_GROUND_ONLY,,,False
71,A1_COMPRESSED_FULL,270.1269563676259,270.1269563676259,True
71,A2_QUICKLOOK_FIRST,19.01269563676259,,False
71,A3_ROI_FIRST,110.12695636762591,,False
71,A4_PROGRESSIVE,30.143340367625903,,False
72,A0_GROUND_ONLY,,,False
72,A1_COMPRESSED_FULL,268.52574919447113,268.52574919447113,True
72,A2_QUICKLOOK_FIRST,18.85257491944711,,False
72,A3_ROI_FIRST,108.5257491944711,,False
72,A4_PROGRESSIVE,28.542133194471106,,False
73,A0_GROUND_ONLY,,,False
73,A1_COMPRESSED_FULL,268.3773360955461,268.3773360955461,True
73,A2_QUICKLOOK_FIRST,18.83773360955461,,False
73,A3_ROI_FIRST,108.3773360955461,,False
73,A4_PROGRESSIVE,28.3937200955461,,False
74,A0_GROUND_ONLY,,,False
74,A1_COMPRESSED_FULL,270.62933980648756,270.62933980648756,True
74,A2_QUICKLOOK_FIRST,19.062933980648758,,False
74,A3_ROI_FIRST,110.62933980648756,,False
74,A4_PROGRESSIVE,30.64572380648757,,False
75,A0_GROUND_ONLY,,,False
75,A1_COMPRESSED_FULL,271.38361703294385,271.38361703294385,True
75,A2_QUICKLOOK_FIRST,19.138361703294386,,False
75,A3_ROI_FIRST,111.38361703294385,,False
75,A4_PROGRESSIVE,31.400001032943848,,False
76,A0_GROUND_ONLY,,,False
76,A1_COMPRESSED_FULL,267.99419834847106,267.99419834847106,True
76,A2_QUICKLOOK_FIRST,18.799419834847104,,False
76,A3_ROI_FIRST,107.99419834847104,,False
76,A4_PROGRESSIVE,28.01058234847104,,False
77,A0_GROUND_ONLY,,,False
77,A1_COMPRESSED_FULL,273.0714638074799,273.0714638074799,True
77,A2_QUICKLOOK_FIRST,19.307146380747994,,False
77,A3_ROI_FIRST,113.07146380747992,,False
77,A4_PROGRESSIVE,33.087847807479925,,False
78,A0_GROUND_ONLY,,,False
78,A1_COMPRESSED_FULL,266.97945990692335,266.97945990692335,True
78,A2_QUICKLOOK_FIRST,18.697945990692332,,False
78,A3_ROI_FIRST,106.97945990692334,,False
78,A4_PROGRESSIVE,26.995843906923337,,False
79,A0_GROUND_ONLY,,,False
79,A1_COMPRESSED_FULL,264.61684694911304,264.61684694911304,True
79,A2_QUICKLOOK_FIRST,18.461684694911302,,False
79,A3_ROI_FIRST,104.61684694911301,,False
79,A4_PROGRESSIVE,24.633230949113017,,False
80,A0_GROUND_ONLY,,,False
80,A1_COMPRESSED_FULL,270.1113516459145,270.1113516459145,True
80,A2_QUICKLOOK_FIRST,19.01113516459145,,False
80,A3_ROI_FIRST,110.11135164591452,,False
80,A4_PROGRESSIVE,30.127735645914523,,False
81,A0_GROUND_ONLY,,,False
81,A1_COMPRESSED_FULL,272.8035678047875,272.8035678047875,True
81,A2_QUICKLOOK_FIRST,19.280356780478755,,False
81,A3_ROI_FIRST,112.80356780478752,,False
81,A4_PROGRESSIVE,32.81995180478753,,False
82,A0_GROUND_ONLY,,,False
82,A1_COMPRESSED_FULL,273.5542250297848,273.5542250297848,True
82,A2_QUICKLOOK_FIRST,19.35542250297848,,False
82,A3_ROI_FIRST,113.5542250297848,,False
82,A4_PROGRESSIVE,33.570609029784805,,False
83,A0_GROUND_ONLY,,,False
83,A1_COMPRESSED_FULL,270.2734446796699,270.2734446796699,True
83,A2_QUICKLOOK_FIRST,19.02734446796699,,False
83,A3_ROI_FIRST,110.27344467966992,,False
83,A4_PROGRESSIVE,30.289828679669924,,False
84,A0_GROUND_ONLY,,,False
84,A1_COMPRESSED_FULL,269.19327477097534,269.19327477097534,True
84,A2_QUICKLOOK_FIRST,18.919327477097532,,False
84,A3_ROI_FIRST,109.19327477097531,,False
84,A4_PROGRESSIVE,29.209658770975306,,False
85,A0_GROUND_ONLY,,,False
85,A1_COMPRESSED_FULL,269.11681471833543,269.11681471833543,True
85,A2_QUICKLOOK_FIRST,18.911681471833546,,False
85,A3_ROI_FIRST,109.11681471833543,,False
85,A4_PROGRESSIVE,29.13319871833544,,False
86,A0_GROUND_ONLY,,,False
86,A1_COMPRESSED_FULL,272.92866582891435,272.92866582891435,True
86,A2_QUICKLOOK_FIRST,19.292866582891435,,False
86,A3_ROI_FIRST,112.92866582891435,,False
86,A4_PROGRESSIVE,32.94504982891435,,False
87,A0_GROUND_ONLY,,,False
87,A1_COMPRESSED_FULL,268.1554861062484,268.1554861062484,True
87,A2_QUICKLOOK_FIRST,18.815548610624845,,False
87,A3_ROI_FIRST,108.15548610624843,,False
87,A4_PROGRESSIVE,28.17187010624843,,False
88,A0_GROUND_ONLY,,,False
88,A1_COMPRESSED_FULL,270.6762415304382,270.6762415304382,True
88,A2_QUICKLOOK_FIRST,19.067624153043816,,False
88,A3_ROI_FIRST,110.67624153043818,,False
88,A4_PROGRESSIVE,30.692625530438168,,False
89,A0_GROUND_ONLY,,,False
89,A1_COMPRESSED_FULL,267.2986645224029,267.2986645224029,True
89,A2_QUICKLOOK_FIRST,18.729866452240287,,False
89,A3_ROI_FIRST,107.29866452240287,,False
89,A4_PROGRESSIVE,27.315048522402876,,False
90,A0_GROUND_ONLY,,,False
90,A1_COMPRESSED_FULL,270.94528478891334,270.94528478891334,True
90,A2_QUICKLOOK_FIRST,19.094528478891334,,False
90,A3_ROI_FIRST,110.94528478891334,,False
90,A4_PROGRESSIVE,30.961668788913336,,False
91,A0_GROUND_ONLY,,,False
91,A1_COMPRESSED_FULL,268.5211511555948,268.5211511555948,True
91,A2_QUICKLOOK_FIRST,18.85211511555948,,False
91,A3_ROI_FIRST,108.52115115559481,,False
91,A4_PROGRESSIVE,28.537535155594806,,False
92,A0_GROUND_ONLY,,,False
92,A1_COMPRESSED_FULL,267.9544410739206,267.9544410739206,True
92,A2_QUICKLOOK_FIRST,18.79544410739206,,False
92,A3_ROI_FIRST,107.9544410739206,,False
92,A4_PROGRESSIVE,27.9708250739206,,False
93,A0_GROUND_ONLY,,,False
93,A1_COMPRESSED_FULL,270.3902576525807,270.3902576525807,True
93,A2_QUICKLOOK_FIRST,19.03902576525807,,False
93,A3_ROI_FIRST,110.39025765258071,,False
93,A4_PROGRESSIVE,30.406641652580717,,False
94,A0_GROUND_ONLY,,,False
